period,registrations,source
2003-01-01,739,backcast_arima
2003-02-01,725,backcast_arima
2003-03-01,950,backcast_arima
2003-04-01,887,backcast_arima
2003-05-01,1363,backcast_arima
2003-06-01,1851,backcast_arima
2003-07-01,1085,backcast_arima
2003-08-01,744,backcast_arima
2003-09-01,848,backcast_arima
2003-10-01,740,backcast_arima
2003-11-01,683,backcast_arima
2003-12-01,627,backcast_arima
2004-01-01,837,historical_pdf
2004-02-01,838,historical_pdf
2004-03-01,1108,historical_pdf
2004-04-01,1150,historical_pdf
2004-05-01,1368,historical_pdf
2004-06-01,1985,historical_pdf
2004-07-01,1411,historical_pdf
2004-08-01,910,historical_pdf
2004-09-01,1123,historical_pdf
2004-10-01,1036,historical_pdf
2004-11-01,1071,historical_pdf
2004-12-01,1113,historical_pdf
2005-01-01,1494,historical_pdf
2005-02-01,1283,historical_pdf
2005-03-01,1383,historical_pdf
2005-04-01,1812,historical_pdf
2005-05-01,2245,historical_pdf
2005-06-01,2838,historical_pdf
2005-07-01,2072,historical_pdf
2005-08-01,1607,historical_pdf
2005-09-01,1653,historical_pdf
2005-10-01,1541,historical_pdf
2005-11-01,1572,historical_pdf
2005-12-01,1371,historical_pdf
2006-01-01,1699,historical_pdf
2006-02-01,1908,historical_pdf
2006-03-01,2534,historical_pdf
2006-04-01,1459,historical_pdf
2006-05-01,2106,historical_pdf
2006-06-01,2929,historical_pdf
2006-07-01,1602,historical_pdf
2006-08-01,1336,historical_pdf
2006-09-01,1377,historical_pdf
2006-10-01,1209,historical_pdf
2006-11-01,1191,historical_pdf
2006-12-01,848,historical_pdf
2007-01-01,1172,historical_pdf
2007-02-01,1178,historical_pdf
2007-03-01,1419,historical_pdf
2007-04-01,1355,historical_pdf
2007-05-01,2300,historical_pdf
2007-06-01,2693,historical_pdf
2007-07-01,1802,historical_pdf
2007-08-01,1683,historical_pdf
2007-09-01,1398,historical_pdf
2007-10-01,1582,historical_pdf
2007-11-01,1645,historical_pdf
2007-12-01,1078,historical_pdf
2008-01-01,1680,historical_pdf
2008-02-01,1268,historical_pdf
2008-03-01,1066,historical_pdf
2008-04-01,768,historical_pdf
2008-05-01,1363,historical_pdf
2008-06-01,2153,historical_pdf
2008-07-01,693,historical_pdf
2008-08-01,528,historical_pdf
2008-09-01,700,historical_pdf
2008-10-01,222,historical_pdf
2008-11-01,87,historical_pdf
2008-12-01,56,historical_pdf
2009-01-01,212,historical_pdf
2009-02-01,161,historical_pdf
2009-03-01,97,historical_pdf
2009-04-01,84,historical_pdf
2009-05-01,199,historical_pdf
2009-06-01,774,historical_pdf
2009-07-01,417,historical_pdf
2009-08-01,171,historical_pdf
2009-09-01,143,historical_pdf
2009-10-01,96,historical_pdf
2009-11-01,92,historical_pdf
2009-12-01,125,historical_pdf
2010-01-01,114,historical_pdf
2010-02-01,98,historical_pdf
2010-03-01,176,historical_pdf
2010-04-01,97,historical_pdf
2010-05-01,411,historical_pdf
2010-06-01,1171,historical_pdf
2010-07-01,458,historical_pdf
2010-08-01,135,historical_pdf
2010-09-01,130,historical_pdf
2010-10-01,137,historical_pdf
2010-11-01,199,historical_pdf
2010-12-01,269,historical_pdf
2011-01-01,219,historical_pdf
2011-02-01,153,historical_pdf
2011-03-01,225,historical_pdf
2011-04-01,328,historical_pdf
2011-05-01,1089,historical_pdf
2011-06-01,1221,historical_pdf
2011-07-01,467,historical_pdf
2011-08-01,332,historical_pdf
2011-09-01,316,historical_pdf
2011-10-01,361,historical_pdf
2011-11-01,416,historical_pdf
2011-12-01,348,historical_pdf
2012-01-01,343,historical_pdf
2012-02-01,344,historical_pdf
2012-03-01,466,historical_pdf
2012-04-01,768,historical_pdf
2012-05-01,1610,historical_pdf
2012-06-01,1601,historical_pdf
2012-07-01,629,historical_pdf
2012-08-01,528,historical_pdf
2012-09-01,518,historical_pdf
2012-10-01,572,historical_pdf
2012-11-01,548,historical_pdf
2012-12-01,581,historical_pdf
2013-01-01,507,historical_pdf
2013-02-01,426,historical_pdf
2013-03-01,537,historical_pdf
2013-04-01,634,historical_pdf
2013-05-01,1547,historical_pdf
2013-06-01,1539,historical_pdf
2013-07-01,710,historical_pdf
2013-08-01,488,historical_pdf
2013-09-01,419,historical_pdf
2013-10-01,518,historical_pdf
2013-11-01,344,historical_pdf
2013-12-01,353,historical_pdf
2014-01-01,616,historical_pdf
2014-02-01,574,historical_pdf
2014-03-01,626,historical_pdf
2014-04-01,635,historical_pdf
2014-05-01,2272,historical_pdf
2014-06-01,2080,historical_pdf
2014-07-01,825,historical_pdf
2014-08-01,555,historical_pdf
2014-09-01,623,historical_pdf
2014-10-01,648,historical_pdf
2014-11-01,485,historical_pdf
2014-12-01,543,historical_pdf
2015-01-01,778,historical_pdf
2015-02-01,734,historical_pdf
2015-03-01,1112,historical_pdf
2015-04-01,1469,historical_pdf
2015-05-01,2802,historical_pdf
2015-06-01,2738,historical_pdf
2015-07-01,1303,historical_pdf
2015-08-01,945,historical_pdf
2015-09-01,932,historical_pdf
2015-10-01,918,historical_pdf
2015-11-01,896,historical_pdf
2015-12-01,979,historical_pdf
2016-01-01,1366,historical_pdf
2016-02-01,1217,historical_pdf
2016-03-01,1539,historical_pdf
2016-04-01,2521,historical_pdf
2016-05-01,3689,historical_pdf
2016-06-01,3059,historical_pdf
2016-07-01,1811,historical_pdf
2016-08-01,1344,historical_pdf
2016-09-01,1162,historical_pdf
2016-10-01,1048,historical_pdf
2016-11-01,1121,historical_pdf
2016-12-01,858,historical_pdf
2017-01-01,1422,historical_pdf
2017-02-01,1496,historical_pdf
2017-03-01,2334,historical_pdf
2017-04-01,2225,historical_pdf
2017-05-01,4210,historical_pdf
2017-06-01,3441,historical_pdf
2017-07-01,2023,historical_pdf
2017-08-01,1718,historical_pdf
2017-09-01,1398,historical_pdf
2017-10-01,1296,historical_pdf
2017-11-01,1112,historical_pdf
2017-12-01,1093,historical_pdf
2018-01-01,1840,historical_pdf
2018-02-01,1371,historical_pdf
2018-03-01,2073,historical_pdf
2018-04-01,2005,historical_pdf
2018-05-01,3101,historical_pdf
2018-06-01,2885,historical_pdf
2018-07-01,1876,historical_pdf
2018-08-01,1642,historical_pdf
2018-09-01,1108,historical_pdf
2018-10-01,980,historical_pdf
2018-11-01,925,historical_pdf
2018-12-01,606,historical_pdf
2019-01-01,1018,historical_pdf
2019-02-01,932,historical_pdf
2019-03-01,1262,historical_pdf
2019-04-01,1358,historical_pdf
2019-05-01,2197,historical_pdf
2019-06-01,1486,historical_pdf
2019-07-01,1151,historical_pdf
2019-08-01,936,historical_pdf
2019-09-01,844,historical_pdf
2019-10-01,806,historical_pdf
2019-11-01,761,historical_pdf
2019-12-01,725,historical_pdf
2020-01-01,866,powerbi
2020-02-01,797,powerbi
2020-03-01,1174,powerbi
2020-04-01,451,powerbi
2020-05-01,636,powerbi
2020-06-01,921,powerbi
2020-07-01,1571,powerbi
2020-08-01,667,powerbi
2020-09-01,1104,powerbi
2020-10-01,845,powerbi
2020-11-01,644,powerbi
2020-12-01,922,powerbi
2021-01-01,690,powerbi
2021-02-01,646,powerbi
2021-03-01,1085,powerbi
2021-04-01,908,powerbi
2021-05-01,1490,powerbi
2021-06-01,2010,powerbi
2021-07-01,1874,powerbi
2021-08-01,979,powerbi
2021-09-01,1254,powerbi
2021-10-01,901,powerbi
2021-11-01,1109,powerbi
2021-12-01,1337,powerbi
2022-01-01,989,powerbi
2022-02-01,996,powerbi
2022-03-01,1608,powerbi
2022-04-01,1578,powerbi
2022-05-01,2495,powerbi
2022-06-01,2706,powerbi
2022-07-01,1727,powerbi
2022-08-01,1205,powerbi
2022-09-01,1354,powerbi
2022-10-01,892,powerbi
2022-11-01,1401,powerbi
2022-12-01,1652,powerbi
2023-01-01,900,powerbi
2023-02-01,1108,powerbi
2023-03-01,2042,powerbi
2023-04-01,1772,powerbi
2023-05-01,2968,powerbi
2023-06-01,2889,powerbi
2023-07-01,1464,powerbi
2023-08-01,1324,powerbi
2023-09-01,1333,powerbi
2023-10-01,1126,powerbi
2023-11-01,1485,powerbi
2023-12-01,1669,powerbi
2024-01-01,601,powerbi
2024-02-01,623,powerbi
2024-03-01,742,powerbi
2024-04-01,1599,powerbi
2024-05-01,2320,powerbi
2024-06-01,1898,powerbi
2024-07-01,992,powerbi
2024-08-01,604,powerbi
2024-09-01,738,powerbi
2024-10-01,849,powerbi
2024-11-01,671,powerbi
2024-12-01,1046,powerbi
2025-01-01,739,powerbi
2025-02-01,791,powerbi
2025-03-01,1236,powerbi
2025-04-01,1600,powerbi
2025-05-01,2352,powerbi
2025-06-01,2229,powerbi
2025-07-01,1494,powerbi
2025-08-01,732,powerbi
2025-09-01,999,powerbi
2025-10-01,881,powerbi
2025-11-01,1576,powerbi
