period,year,month,import_status,vehicle_class,registrations
2020-01-01,2020,1,Nýtt,Fólksbifreið (M1),712
2020-01-01,2020,1,Nýtt,Sendibifreið (N1),127
2020-01-01,2020,1,Nýtt,Vélsleði,31
2020-01-01,2020,1,Nýtt,Eftirvagn II (O2),30
2020-01-01,2020,1,Nýtt,Dráttarvél,23
2020-01-01,2020,1,Nýtt,Vörubifreið I (N2),13
2020-01-01,2020,1,Nýtt,Fjór-/sexhjól,10
2020-01-01,2020,1,Nýtt,Vörubifreið II (N3),10
2020-01-01,2020,1,Nýtt,Þungt bifhjól,9
2020-01-01,2020,1,Nýtt,Torfæruhjól,7
2020-01-01,2020,1,Nýtt,Eftirvagn IV (O4),4
2020-01-01,2020,1,Nýtt,Hópbifreið II (M3),4
2020-02-01,2020,2,Nýtt,Fólksbifreið (M1),695
2020-02-01,2020,2,Nýtt,Sendibifreið (N1),86
2020-02-01,2020,2,Nýtt,Eftirvagn II (O2),32
2020-02-01,2020,2,Nýtt,Vélsleði,26
2020-02-01,2020,2,Nýtt,Dráttarvél,19
2020-02-01,2020,2,Nýtt,Eftirvagn IV (O4),8
2020-02-01,2020,2,Nýtt,Vörubifreið II (N3),7
2020-02-01,2020,2,Nýtt,Vörubifreið I (N2),6
2020-02-01,2020,2,Nýtt,Torfæruhjól,5
2020-02-01,2020,2,Nýtt,Fjór-/sexhjól,2
2020-02-01,2020,2,Nýtt,Hópbifreið II (M3),2
2020-02-01,2020,2,Nýtt,Þungt bifhjól,2
2020-02-01,2020,2,Nýtt,Eftirvagn I (O1),1
2020-02-01,2020,2,Nýtt,Hópbifreið I (M2),1
2020-03-01,2020,3,Nýtt,Fólksbifreið (M1),1077
2020-03-01,2020,3,Nýtt,Sendibifreið (N1),88
2020-03-01,2020,3,Nýtt,Eftirvagn II (O2),49
2020-03-01,2020,3,Nýtt,Dráttarvél,39
2020-03-01,2020,3,Nýtt,Þungt bifhjól,16
2020-03-01,2020,3,Nýtt,Vélsleði,15
2020-03-01,2020,3,Nýtt,Eftirvagn IV (O4),7
2020-03-01,2020,3,Nýtt,Fjór-/sexhjól,7
2020-03-01,2020,3,Nýtt,Vörubifreið II (N3),5
2020-03-01,2020,3,Nýtt,Vörubifreið I (N2),4
2020-03-01,2020,3,Nýtt,Torfæruhjól,3
2020-03-01,2020,3,Nýtt,Létt bifhjól,2
2020-03-01,2020,3,Nýtt,Eftirvagn III (O3),1
2020-04-01,2020,4,Nýtt,Fólksbifreið (M1),373
2020-04-01,2020,4,Nýtt,Eftirvagn II (O2),121
2020-04-01,2020,4,Nýtt,Sendibifreið (N1),57
2020-04-01,2020,4,Nýtt,Dráttarvél,51
2020-04-01,2020,4,Nýtt,Létt bifhjól,31
2020-04-01,2020,4,Nýtt,Þungt bifhjól,22
2020-04-01,2020,4,Nýtt,Torfæruhjól,20
2020-04-01,2020,4,Nýtt,Vörubifreið II (N3),14
