"UTGAFUDAGUR","AR","MANUDUR","VISITALA","VISITALA_HOFUDBORGARSVAEDI","VISITALA_LANDSBYGGD","VISITALA_SERBYLI_HOFUDBORGARSVAEDI","VISITALA_FJOLBYLI_HOFUDBORGARSVAEDI","VISITALA_SERBYLI_LANDSBYGGD","VISITALA_FJOLBYLI_LANDSBYGGD"
" ",2020," 01",64.3,65.2,61.6,64.6,65.6,62,60.3
" ",2020," 02",64.3,65.3,61,65.1,65.5,61.3,60.2
" ",2020," 03",65.1,65.4,64.1,64.4,66.2,64.4,63.2
" ",2020," 04",64.7,65.3,62.9,64.4,66,63.4,61.3
" ",2020," 05",65.5,65.9,64.3,65.8,66,64.7,63
" ",2020," 06",65.9,66.5,64,66,66.9,64,64.1
" ",2020," 07",66.7,67.3,64.8,66.7,67.7,65.1,64
" ",2020," 08",67,67.6,65.3,66.9,68.1,65.9,63.7
" ",2020," 09",67.6,67.9,66.6,67,68.6,67.1,65.1
" ",2020," 10",67.8,68.3,66.1,67.6,68.9,66.4,65.4
" ",2020," 11",68.8,69.8,65.9,70.2,69.5,66.4,64.6
" ",2020," 12",68.5,69.5,65.2,68.7,70.2,65.1,65.5
" ",2021," 01",69.2,70.1,66.1,69.6,70.5,66.6,64.8
" ",2021," 02",71,72.2,67.2,72,72.4,67.4,66.7
" ",2021," 03",72.6,73.6,69.6,74.4,73,70.7,66.6
" ",2021," 04",74.8,75.8,71.7,76.2,75.5,72.9,68.2
" ",2021," 05",74.8,75.8,71.6,75.3,76.2,72.8,68.3
" ",2021," 06",76.1,77.1,72.9,76.3,77.7,73.2,72.2
" ",2021," 07",77.7,78.7,74.7,79.2,78.3,75.6,72.1
" ",2021," 08",78.5,79.4,75.6,79,79.7,76.3,73.8
" ",2021," 09",79.5,80,78.3,78.7,80.9,80,73.6
" ",2021," 10",80.9,81.8,78.1,81.2,82.2,78.8,76.2
" ",2021," 11",81.5,82.8,77.6,82.1,83.3,77.4,78.1
" ",2021," 12",82.9,84.4,78.2,84.5,84.4,78.1,78.6
" ",2022," 01",84.1,85.6,79.5,85.5,85.7,79.2,80.4
" ",2022," 02",86.7,87.7,83.6,86.9,88.3,83.7,83.5
" ",2022," 03",90.3,91.9,85.5,91.3,92.3,85.2,86.3
" ",2022," 04",92.2,93,89.8,90.7,94.8,89.6,90.5
" ",2022," 05",93.8,95.2,89.6,95.8,94.7,89.5,90
" ",2022," 06",94.9,95.3,93.8,94.2,96.1,94.6,91.6
" ",2022," 07",95.9,96.7,93.4,96.7,96.7,92.8,95
" ",2022," 08",95.7,96.3,93.9,95.9,96.6,93.1,96
" ",2022," 09",97,97.1,96.5,96.8,97.4,97.2,94.5
" ",2022," 10",97,97.6,95,97.2,97.9,94.8,95.7
" ",2022," 11",95.5,95.3,96.1,95,95.5,97.4,92.4
" ",2022," 12",95,95,94.9,93.8,96,95.7,92.7
" ",2023," 01",96.1,95.9,96.6,95.7,96.1,97.1,95.1
" ",2023," 02",96.4,96,97.5,94.3,97.3,97.3,98.1
" ",2023," 03",97.6,97.8,96.8,97.7,97.9,96.9,96.4
" ",2023," 04",97.3,97.2,97.6,97.1,97.3,98.5,95.2
" ",2023," 05",96.8,96.1,98.9,94.7,97.2,99.1,98.5
" ",2023," 06",97.5,96.5,100.5,94.7,97.9,101.7,97.1
" ",2023," 07",96.6,96.2,97.9,94.2,97.8,97.3,99.5
" ",2023," 08",98.1,97.3,100.2,95.7,98.6,101.2,97.4
" ",2023," 09",99,98.7,99.6,97.9,99.4,98.5,102.6
" ",2023," 10",99.9,98.8,103.3,99,98.6,103.8,101.8
" ",2023," 11",99,99.2,98.4,98.1,100,97,102.4
" ",2023," 12",101,99.4,105.8,98.6,100.1,106.8,103.2
"2024-03-19",2024," 01",100,100,100,100,100,100,100
